[2023-11-29 14:48:04,079: INFO: main: Welcome to custom log:]
[2023-11-29 18:04:31,583: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-29 18:04:49,643: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-29 18:04:49,643: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-29 18:04:49,644: INFO: common: created directory at: artifacts]
[2023-11-29 18:05:18,229: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-29 18:05:18,230: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-29 18:05:18,230: INFO: common: created directory at: artifacts]
[2023-11-29 18:05:18,231: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-29 18:05:18,231: INFO: 2043042325: Downloading data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2023-11-29 18:05:27,848: INFO: 2043042325: Downloaded data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into fileartifacts/data_ingestion/data.zip]
[2023-11-30 14:02:46,052: INFO: main: >>>>>> Stage Data Ingestion stage started <<<<<<]
[2023-11-30 14:02:46,052: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-30 14:02:46,052: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-30 14:02:46,052: INFO: common: created directory at: artifacts]
[2023-11-30 14:02:46,052: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-30 14:02:46,052: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2023-11-30 14:02:56,086: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into fileartifacts/data_ingestion/data.zip]
[2023-11-30 14:02:59,575: INFO: main: >>>>>> Stage Data Ingestion stage completed <<<<<<

x==========x]
[2023-11-30 14:09:20,578: INFO: main: >>>>>> Stage Data Ingestion stage started <<<<<<]
[2023-11-30 14:09:20,579: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-30 14:09:20,579: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-30 14:09:20,579: INFO: common: created directory at: artifacts]
[2023-11-30 14:09:20,579: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-30 14:09:20,579: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2023-11-30 14:09:30,106: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into fileartifacts/data_ingestion/data.zip]
[2023-11-30 14:09:33,626: INFO: main: >>>>>> Stage Data Ingestion stage completed <<<<<<

x==========x]
[2023-12-04 15:20:44,344: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:20:44,346: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:20:44,346: INFO: common: created directory at: artifacts]
[2023-12-04 15:20:44,346: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:22:46,636: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:22:46,637: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:22:46,638: INFO: common: created directory at: artifacts]
[2023-12-04 15:22:46,638: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:23:13,567: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:23:13,569: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:23:13,569: INFO: common: created directory at: artifacts]
[2023-12-04 15:23:13,570: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:23:19,592: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:23:19,594: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:23:19,594: INFO: common: created directory at: artifacts]
[2023-12-04 15:23:19,594: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:27:13,066: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:27:13,067: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:27:13,067: INFO: common: created directory at: artifacts]
[2023-12-04 15:27:13,068: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:27:14,188: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-04 15:30:12,875: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:30:12,876: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:30:12,877: INFO: common: created directory at: artifacts]
[2023-12-04 15:30:12,878: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:30:13,075: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-04 15:30:31,857: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:30:31,859: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 15:30:31,859: INFO: common: created directory at: artifacts]
[2023-12-04 15:30:31,859: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 15:30:32,030: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-04 15:33:38,343: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 15:33:38,344: INFO: common: yaml file: params.yaml loaded successfully]
